fornitore,reg,codice_regione,Code,anno,mese,age_group,coverage_of_the_age_group,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_6,coverage_7,coverage_8,coverage_9,coverage_10,coverage_11,coverage_12,coverage_13,coverage_14,coverage_15,efficacy_baseline,efficacy_lower,efficacy_upper
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,12,2,0,0,0,.0082304524,.0082304524,.0082304524,.041152265,.29218107,.18106996,.094650209,.34979424,.016460905,0,0,0,0,24.758024,1.9930041,39.519756
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,1,2,0,0,0,0,.0082304524,.0082304524,.0082304524,.041152265,.29218107,.18106996,.094650209,.34979424,.016460905,0,0,0,24.471605,.90041149,43.087658
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,2,2,0,0,0,0,0,.0082304524,.0082304524,.0082304524,.041152265,.29218107,.18106996,.094650209,.34979424,.016460905,0,0,24.221399,.43127567,43.386421
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,3,2,0,0,0,0,0,0,.0082304524,.0082304524,.0082304524,.041152265,.29218107,.18106996,.094650209,.34979424,.016460905,0,24,.062551439,43.276958
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,2,3,.013733781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,66
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,3,3,.042507511,.75580609,.24419391,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53,66
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,4,3,.020456368,.26671436,.55422175,.17906387,0,0,0,0,0,0,0,0,0,0,0,0,59.785122,52.820934,65.444901
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,5,3,.062876537,.45048824,.14656268,.30455133,.098397702,0,0,0,0,0,0,0,0,0,0,0,59.083511,52.341217,64.386787
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,6,3,.017252773,.11001152,.40092936,.13043909,.2710472,.087572828,0,0,0,0,0,0,0,0,0,0,57.528698,51.175694,62.94685
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,7,3,.00073404465,.0046587959,.10949899,.3990615,.1298314,.26978445,.087164842,0,0,0,0,0,0,0,0,0,53.201099,45.798416,58.207806
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,8,3,.00061123865,.0038643861,.004640793,.10907585,.39751941,.1293297,.26874191,.086828008,0,0,0,0,0,0,0,0,43.665588,33.25095,48.850555
